Designator,Mid X,Mid Y,Layer,Rotation
D1,65.80,78.15,T,0.00
D1,46.80,12.15,T,0.00
D1,46.80,28.65,T,0.00
D1,8.80,78.15,T,0.00
D1,27.80,12.15,T,0.00
D1,84.80,12.15,T,0.00
D1,84.80,45.15,T,0.00
D1,46.80,61.65,T,0.00
D1,27.80,61.65,T,0.00
D1,65.80,45.15,T,0.00
D1,8.80,12.15,T,0.00
D1,27.80,45.15,T,0.00
D1,84.80,28.65,T,0.00
D1,46.80,45.15,T,0.00
D1,27.80,28.65,T,0.00
D1,65.80,12.15,T,0.00
D1,8.80,28.65,T,0.00
D1,84.80,78.15,T,0.00
D1,8.80,61.65,T,0.00
D1,8.80,45.15,T,0.00
D1,46.80,78.15,T,0.00
D1,65.80,28.65,T,0.00
D1,65.80,61.65,T,0.00
D1,84.80,61.65,T,0.00
D1,27.80,78.15,T,0.00
F1,64.89,81.84,T,270.00
F1,7.89,65.34,T,270.00
F1,45.89,48.84,T,270.00
F1,83.89,15.84,T,270.00
F1,45.89,15.84,T,270.00
F1,83.89,81.84,T,270.00
F1,7.89,81.84,T,270.00
F1,26.89,81.84,T,270.00
F1,64.89,32.34,T,270.00
F1,64.89,65.34,T,270.00
F1,45.89,81.84,T,270.00
F1,83.89,48.84,T,270.00
F1,7.89,48.84,T,270.00
F1,7.89,32.34,T,270.00
F1,64.89,48.84,T,270.00
F1,26.89,15.84,T,270.00
F1,26.89,65.34,T,270.00
F1,64.89,15.84,T,270.00
F1,83.89,32.34,T,270.00
F1,45.89,32.34,T,270.00
F1,26.89,32.34,T,270.00
F1,83.89,65.34,T,270.00
F1,7.89,15.84,T,270.00
F1,26.89,48.84,T,270.00
F1,45.89,65.34,T,270.00
G2,53.00,69.80,B,180.00
G2,15.00,69.80,B,180.00
G2,34.00,86.30,B,180.00
G2,34.00,69.80,B,180.00
G2,72.00,20.30,B,180.00
G2,72.00,86.30,B,180.00
G2,91.00,69.80,B,180.00
G2,72.00,36.80,B,180.00
G2,91.00,53.30,B,180.00
G2,15.00,53.30,B,180.00
G2,91.00,20.30,B,180.00
G2,34.00,20.30,B,180.00
G2,72.00,69.80,B,180.00
G2,53.00,86.30,B,180.00
G2,91.00,36.80,B,180.00
G2,34.00,36.80,B,180.00
G2,72.00,53.30,B,180.00
G2,15.00,86.30,B,180.00
G2,34.00,53.30,B,180.00
G2,53.00,53.30,B,180.00
G2,15.00,36.80,B,180.00
G2,91.00,86.30,B,180.00
G2,15.00,20.30,B,180.00
G2,53.00,20.30,B,180.00
G2,53.00,36.80,B,180.00
J1,53.00,83.20,T,180.00
J1,53.00,17.20,T,180.00
J1,72.00,33.70,T,180.00
J1,34.00,17.20,T,180.00
J1,91.00,17.20,T,180.00
J1,53.00,66.70,T,180.00
J1,72.00,50.20,T,180.00
J1,15.00,50.20,T,180.00
J1,34.00,83.20,T,180.00
J1,15.00,66.70,T,180.00
J1,34.00,33.70,T,180.00
J1,34.00,66.70,T,180.00
J1,91.00,50.20,T,180.00
J1,91.00,66.70,T,180.00
J1,72.00,66.70,T,180.00
J1,91.00,33.70,T,180.00
J1,15.00,33.70,T,180.00
J1,34.00,50.20,T,180.00
J1,72.00,83.20,T,180.00
J1,72.00,17.20,T,180.00
J1,15.00,17.20,T,180.00
J1,53.00,50.20,T,180.00
J1,15.00,83.20,T,180.00
J1,53.00,33.70,T,180.00
J1,91.00,83.20,T,180.00
J2,72.00,41.80,T,0.00
J2,34.00,74.80,T,0.00
J2,53.00,25.30,T,0.00
J2,15.00,8.80,T,0.00
J2,53.00,8.80,T,0.00
J2,34.00,25.30,T,0.00
J2,91.00,41.80,T,0.00
J2,34.00,8.80,T,0.00
J2,15.00,74.80,T,0.00
J2,53.00,74.80,T,0.00
J2,34.00,41.80,T,0.00
J2,72.00,58.30,T,0.00
J2,72.00,25.30,T,0.00
J2,91.00,8.80,T,0.00
J2,72.00,8.80,T,0.00
J2,91.00,25.30,T,0.00
J2,91.00,58.30,T,0.00
J2,15.00,25.30,T,0.00
J2,15.00,41.80,T,0.00
J2,53.00,41.80,T,0.00
J2,15.00,58.30,T,0.00
J2,72.00,74.80,T,0.00
J2,53.00,58.30,T,0.00
J2,34.00,58.30,T,0.00
J2,91.00,74.80,T,0.00
L1,41.00,15.22,T,90.00
L1,60.00,31.72,T,90.00
L1,79.00,15.22,T,90.00
L1,41.00,48.22,T,90.00
L1,79.00,31.72,T,90.00
L1,22.00,81.22,T,90.00
L1,22.00,15.22,T,90.00
L1,79.00,81.22,T,90.00
L1,98.00,15.22,T,90.00
L1,98.00,48.22,T,90.00
L1,98.00,64.72,T,90.00
L1,22.00,48.22,T,90.00
L1,98.00,81.22,T,90.00
L1,79.00,48.22,T,90.00
L1,22.00,31.72,T,90.00
L1,22.00,64.72,T,90.00
L1,41.00,31.72,T,90.00
L1,79.00,64.72,T,90.00
L1,60.00,48.22,T,90.00
L1,60.00,64.72,T,90.00
L1,60.00,15.22,T,90.00
L1,60.00,81.22,T,90.00
L1,41.00,64.72,T,90.00
L1,41.00,81.22,T,90.00
L1,98.00,31.72,T,90.00
R1,95.65,27.70,T,270.00
R1,38.65,27.70,T,270.00
R1,19.65,44.20,T,270.00
R1,19.65,60.70,T,270.00
R1,57.65,44.20,T,270.00
R1,19.65,77.20,T,270.00
R1,57.65,27.70,T,270.00
R1,38.65,11.20,T,270.00
R1,76.65,60.70,T,270.00
R1,95.65,60.70,T,270.00
R1,76.65,44.20,T,270.00
R1,57.65,77.20,T,270.00
R1,38.65,60.70,T,270.00
R1,38.65,44.20,T,270.00
R1,95.65,77.20,T,270.00
R1,76.65,11.20,T,270.00
R1,76.65,77.20,T,270.00
R1,76.65,27.70,T,270.00
R1,95.65,11.20,T,270.00
R1,38.65,77.20,T,270.00
R1,19.65,27.70,T,270.00
R1,57.65,11.20,T,270.00
R1,95.65,44.20,T,270.00
R1,19.65,11.20,T,270.00
R1,57.65,60.70,T,270.00
R2,40.25,11.60,T,270.00
R2,21.25,11.60,T,270.00
R2,40.25,61.10,T,270.00
R2,40.25,28.10,T,270.00
R2,78.25,77.60,T,270.00
R2,78.25,11.60,T,270.00
R2,59.25,11.60,T,270.00
R2,97.25,44.60,T,270.00
R2,97.25,28.10,T,270.00
R2,59.25,44.60,T,270.00
R2,78.25,44.60,T,270.00
R2,21.25,28.10,T,270.00
R2,21.25,61.10,T,270.00
R2,40.25,44.60,T,270.00
R2,59.25,77.60,T,270.00
R2,21.25,44.60,T,270.00
R2,97.25,61.10,T,270.00
R2,59.25,28.10,T,270.00
R2,21.25,77.60,T,270.00
R2,78.25,28.10,T,270.00
R2,59.25,61.10,T,270.00
R2,40.25,77.60,T,270.00
R2,78.25,61.10,T,270.00
R2,97.25,77.60,T,270.00
R2,97.25,11.60,T,270.00
U1,34.00,79.02,T,0.00
U1,72.00,46.02,T,0.00
U1,53.00,46.02,T,0.00
U1,91.00,79.02,T,0.00
U1,34.00,46.02,T,0.00
U1,91.00,13.02,T,0.00
U1,53.00,13.02,T,0.00
U1,15.00,46.02,T,0.00
U1,72.00,13.02,T,0.00
U1,53.00,29.52,T,0.00
U1,91.00,29.52,T,0.00
U1,72.00,79.02,T,0.00
U1,53.00,62.52,T,0.00
U1,15.00,79.02,T,0.00
U1,34.00,62.52,T,0.00
U1,34.00,29.52,T,0.00
U1,15.00,29.52,T,0.00
U1,72.00,62.52,T,0.00
U1,91.00,62.52,T,0.00
U1,91.00,46.02,T,0.00
U1,34.00,13.02,T,0.00
U1,15.00,62.52,T,0.00
U1,72.00,29.52,T,0.00
U1,15.00,13.02,T,0.00
U1,53.00,79.02,T,0.00
